cell,cell_type,sample_type
X195606445410155.N,Pro-angiogenesis Macrophage,N
X195606446033637.N,Effector/Memory CD4+ T cells,N
X195606458521821.N,Macrophage,N
X195606458522915.N,Effector/Memory CD8+ T cells,N
X195606477138670.N,Natural killer cell,N
X195615826045347.N,Effector/Memory CD4+ T cells,N
X195615826532125.N,Natural killer cell,N
X195615840685486.N,Pro-angiogenesis Macrophage,N
X195615840954739.N,Natural killer cell,N
X195615841021149.N,Effector/Memory CD8+ T cells,N
X195615871855861.N,Pro-angiogenesis Macrophage,N
X195615871949662.N,Pro-angiogenesis Macrophage,N
X195615872400235.N,Effector/Memory CD4+ T cells,N
X195615872437596.N,Effector/Memory CD4+ T cells,N
X195622417066926.N,Pro-angiogenesis Macrophage,N
X195622417360813.N,pDC,N
X195622417583347.N,Pro-angiogenesis Macrophage,N
X195622417620315.N,Pro-angiogenesis Macrophage,N
X195622417622891.N,Lung Cancer Cell,N
X195622430165228.N,Pro-angiogenesis Macrophage,N
X195622430522589.N,Effector/Memory CD4+ T cells,N
X195622448580532.N,Effector/Memory CD4+ T cells,N
X195622448614694.N,Pro-angiogenesis Macrophage,N
X195622449068907.N,Pro-angiogenesis Macrophage,N
X195622449330995.N,Natural killer cell,N
X195623342422963.N,Pro-angiogenesis Macrophage,N
X195623356585899.N,Pro-angiogenesis Macrophage,N
X195623369534365.N,Effector/Memory CD4+ T cells,N
X195623370025819.N,Pro-angiogenesis Macrophage,N
X195623388572060.N,Pro-angiogenesis Macrophage,N
X195623388829413.N,Effector/Memory CD8+ T cells,N
X195625758189797.N,Pro-angiogenesis Macrophage,N
X195625758608166.N,Lung Cancer Cell,N
X195625772576044.N,Pro-angiogenesis Macrophage,N
X195625772767068.N,Lung Cancer Cell,N
X195625773320094.N,Lung Cancer Cell,N
X195625804773292.N,Pro-angiogenesis Macrophage,N
X195625804787046.N,Pro-angiogenesis Macrophage,N
X195958617855773.N,Pro-angiogenesis Macrophage,N
X195958618609451.N,Natural killer cell,N
X195958632540908.N,Pro-angiogenesis Macrophage,N
X195958632797996.N,Pro-angiogenesis Macrophage,N
X195958645385964.N,Effector/Memory CD4+ T cells,N
X195958645578654.N,Macrophage,N
X195958645615909.N,Pro-angiogenesis Macrophage,N
X195958663989172.N,Pro-angiogenesis Macrophage,N
X195958664443701.N,Macrophage or Dendritic Cell,N
X195958664456987.N,Effector/Memory CD4+ T cells,N
X195967074024371.N,Pro-angiogenesis Macrophage,N
X195967074326301.N,Pro-angiogenesis Macrophage,N
X195967088979166.N,CD8 T or NK cell,N
X195967101619438.N,Phagocytosis Macrophage,N
X195967119648486.N,Pro-angiogenesis Macrophage,N
X195967119681907.N,Pro-angiogenesis Macrophage,N
X195967120227573.N,Blood Cell,N
X195967120463790.N,Pro-angiogenesis Macrophage,N
X196019686926684.N,Pro-angiogenesis Macrophage,N
X196019687213366.N,Effector/Memory CD4+ T cells,N
X196019701794667.N,Pro-inflammatory Macrophage,N
X196019702061283.N,Pro-angiogenesis Macrophage,N
X196019714451747.N,Blood Cell,N
X196019714931637.N,Blood Cell,N
X196019714967275.N,Pro-angiogenesis Macrophage,N
X196019733804787.N,Natural killer cell,N
X196043577637613.N,Effector/Memory CD8+ T cells,N
X196043577715948.N,Pro-angiogenesis Macrophage,N
X196043578207067.N,Natural killer cell,N
X196043578456430.N,Natural killer cell,N
X196043592657763.N,Effector/Memory CD4+ T cells,N
X196043592817499.N,Lung Cancer Cell,N
X196043604973854.N,Natural killer cell,N
X196043624036214.N,Pro-angiogenesis Macrophage,N
X196043624311716.N,CD8 T or NK cell,N
X196043624311731.N,Lung Cancer Cell,N
X196043624602854.N,Pro-angiogenesis Macrophage,N
X196113236875190.N,Pro-angiogenesis Macrophage,N
X196113236965171.N,Pro-angiogenesis Macrophage,N
X196113237207971.N,Natural killer cell,N
X196113251912436.N,Natural killer cell,N
X196113263913316.N,Pro-angiogenesis Macrophage,N
X196163864024940.N,Pro-angiogenesis Macrophage,N
X196163864025451.N,Pro-angiogenesis Macrophage,N
X196163864545580.N,Pro-angiogenesis Macrophage,N
X196163864553396.N,Pro-inflammatory Macrophage,N
X196163864803164.N,Natural killer cell,N
X196163882904885.N,Pro-angiogenesis Macrophage,N
X196174306031523.N,Pro-angiogenesis Macrophage,N
X196174306557227.N,Pro-angiogenesis Macrophage,N
X196174320425758.N,Lung Cancer Cell,N
X196174320621925.N,Natural killer cell,N
X196174320977771.N,Pro-angiogenesis Macrophage,N
X196174333729580.N,Lung Cancer Cell,N
X196174351919979.N,Natural killer cell,N
X196174352366827.N,Macrophage,N
X196180748156341.N,Effector/Memory CD4+ T cells,N
X196180748159924.N,Effector/Memory CD8+ T cells,N
X196180748191475.N,Pro-angiogenesis Macrophage,N
X196180748744542.N,Pro-inflammatory Macrophage,N
X196180748748654.N,Pro-angiogenesis Macrophage,N
X196180748983019.N,Natural killer cell,N
X196180763102627.N,Naive CD4+ T cells,N
X196180763130293.N,Natural killer cell,N
X196180763135196.N,Lung Cancer Cell,N
X196180763428715.N,Pro-angiogenesis Macrophage,N
X196180775422301.N,Endothelial Cells,N
X196180775684852.N,Pro-angiogenesis Macrophage,N
X196180776216877.N,Pro-angiogenesis Macrophage,N
X196180794358620.N,Natural killer cell,N
X196180794882269.N,Macrophage,N
X196527700952989.N,Endothelial Cells,N
X196527700954524.N,Effector/Memory CD4+ T cells,N
X196527701244205.N,Pro-angiogenesis Macrophage,N
X196527701252342.N,Macrophage,N
X196527701256614.N,Pro-angiogenesis Macrophage,N
X196527701773732.N,Effector/Memory CD4+ T cells,N
X196527715994412.N,Pro-angiogenesis Macrophage,N
X196527716223405.N,Macrophage,N
X196527728249638.N,Normal Fibroblast,N
X196527747389348.N,Pro-angiogenesis Macrophage,N
X196527747421918.N,Pro-angiogenesis Macrophage,N
X196638162676141.N,Macrophage,N
X196638176925491.N,Pro-angiogenesis Macrophage,N
X196638177384349.N,Effector/Memory CD8+ T cells,N
X196638189411190.N,Effector/Memory CD4+ T cells,N
X196638189704950.N,Effector/Memory CD4+ T cells,N
X196715471551902.N,Macrophage,N
X196715471619893.N,Pro-angiogenesis Macrophage,N
X196715472369564.N,Natural killer cell,N
X196715472444189.N,Pro-angiogenesis Macrophage,N
X196715486297332.N,Pro-angiogenesis Macrophage,N
X196715486337252.N,Pro-angiogenesis Macrophage,N
X196715487021940.N,Natural killer cell,N
X196715499440556.N,Macrophage,N
X196715499612406.N,Pro-angiogenesis Macrophage,N
X196715517693339.N,Pro-angiogenesis Macrophage,N
X196715517799731.N,Effector/Memory CD8+ T cells,N
X196715518578085.N,Pro-angiogenesis Macrophage,N
X197058264160675.N,Effector/Memory CD4+ T cells,N
X197058264223013.N,Effector/Memory CD4+ T cells,N
X197058264480164.N,Effector/Memory CD4+ T cells,N
X197058278583715.N,Pro-angiogenesis Macrophage,N
X197058279198109.N,Pro-angiogenesis Macrophage,N
X197058309810075.N,CD4 or CD8 T cell,N
X197060142947622.N,Lung Cancer Cell,N
X197060142976293.N,Pro-angiogenesis Macrophage,N
X197060157397742.N,Pro-angiogenesis Macrophage,N
X197060157401884.N,Pro-angiogenesis Macrophage,N
X197060188858739.N,Stromal Cell,N
X197060189416220.N,Pro-angiogenesis Macrophage,N
X197068867098414.N,Macrophage,N
X197068867463396.N,Pro-angiogenesis Macrophage,N
X197068881516892.N,Effector/Memory CD4+ T cells,N
X197068881804011.N,Natural killer cell,N
X197068882077547.N,Pro-angiogenesis Macrophage,N
X197068894366046.N,Effector/Memory CD8+ T cells,N
X197068913272670.N,Pro-angiogenesis Macrophage,N
X197135438900525.N,Pro-inflammatory Macrophage,N
X197135439121835.N,Effector/Memory CD4+ T cells,N
X197135439153437.N,Macrophage,N
X197135439194027.N,Effector/Memory CD4+ T cells,N
X197135453535588.N,Pro-angiogenesis Macrophage,N
X197135454026163.N,Pro-angiogenesis Macrophage,N
X197135454394283.N,Pro-angiogenesis Macrophage,N
X197135466387813.N,Effector/Memory CD4+ T cells,N
X197135466620771.N,Pro-angiogenesis Macrophage,N
X197135466912107.N,Effector/Memory CD4+ T cells,N
X197135485286685.N,Pro-inflammatory Macrophage,N
X197135485298540.N,Pro-angiogenesis Macrophage,N
X197145237024029.N,Non Blood Cell,N
X197145252248869.N,Pro-angiogenesis Macrophage,N
X197145264766245.N,Effector/Memory CD4+ T cells,N
X197145283376949.N,Pro-angiogenesis Macrophage,N
X197145283475238.N,Pro-angiogenesis Macrophage,N
X197185771072347.N,Pro-angiogenesis Macrophage,N
X197185771333875.N,Blood Cell,N
X197185785682356.N,Effector/Memory CD4+ T cells,N
X197185785940723.N,Macrophage,N
X197185798334388.N,Any Cell,N
X197185798520053.N,Natural killer cell,N
X197185798560028.N,Pro-angiogenesis Macrophage,N
X197185816935654.N,Pro-angiogenesis Macrophage,N
X197185816939253.N,Pro-angiogenesis Macrophage,N
X197185816948062.N,Effector/Memory CD4+ T cells,N
X197188186691883.N,Lung Cancer Cell,N
X197188186725669.N,Naive CD4+ T cells,N
X197188187253038.N,Pro-angiogenesis Macrophage,N
X197188201135348.N,Pro-angiogenesis Macrophage,N
X197188201396510.N,Effector/Memory CD8+ T cells,N
X197188201602277.N,Pro-angiogenesis Macrophage,N
X197188214208811.N,Pro-angiogenesis Macrophage,N
X197188214447467.N,Naive CD4+ T cells,N
X197188214504307.N,Effector/Memory CD8+ T cells,N
X197188232531302.N,Pro-angiogenesis Macrophage,N
X197188232567580.N,Effector/Memory CD4+ T cells,N
X197206037642549.N,Effector/Memory CD4+ T cells,N
X197206038211291.N,Natural killer cell,N
X197206052133213.N,Blood Cell,N
X197206052558699.N,Blood Cell,N
X197206052910947.N,Pro-angiogenesis Macrophage,N
X197206064717158.N,Endothelial Cells,N
X197206065207069.N,Normal Fibroblast,N
X197206065400621.N,Naive CD4+ T cells,N
X197206084019958.N,Pro-angiogenesis Macrophage,N
X197206084107165.N,CD4 or CD8 T cell,N
X197213554424118.N,Pro-angiogenesis Macrophage,N
X197213568263918.N,Blood Cell,N
X197213580867309.N,Effector/Memory CD8+ T cells,N
X197213581076830.N,Pro-angiogenesis Macrophage,N
X197213581134574.N,Pro-angiogenesis Macrophage,N
X197213581141941.N,Effector/Memory CD8+ T cells,N
X197213599742302.N,Macrophage,N
X197256771947942.N,Effector/Memory CD4+ T cells,N
X197256786331997.N,Pro-angiogenesis Macrophage,N
X197256798919069.N,Natural killer cell,N
X197256798923678.N,Effector/Memory CD4+ T cells,N
X197256799696803.N,Macrophage,N
X197256799702430.N,Pro-angiogenesis Macrophage,N
X197256799739107.N,Pro-angiogenesis Macrophage,N
X197256799742253.N,Blood Cell,N
X197256817850214.N,Naive CD4+ T cells,N
X197256817858349.N,Pro-angiogenesis Macrophage,N
X197256818087844.N,Pro-angiogenesis Macrophage,N
X197256818116965.N,Pro-angiogenesis Macrophage,N
X197256818125726.N,Pro-angiogenesis Macrophage,N
X197256818313645.N,Pro-angiogenesis Macrophage,N
X197256818378668.N,Pro-angiogenesis Macrophage,N
X197264019471605.N,Pro-angiogenesis Macrophage,N
X197264019998572.N,Pro-angiogenesis Macrophage,N
X197264034917747.N,Lung Cancer Cell,N
X197264047032244.N,Any Cell,N
X197264047459117.N,Effector/Memory CD4+ T cells,N
X197264047491427.N,Endothelial Cells,N
X199865964615460.N,Pro-angiogenesis Macrophage,N
X199865964809582.N,Natural killer cell,N
X199865964850478.N,Pro-angiogenesis Macrophage,N
X199865979034398.N,Lung Cancer Cell,N
X199865979066717.N,Pro-angiogenesis Macrophage,N
X199865979549622.N,Macrophage,N
X199865991555998.N,Pro-angiogenesis Macrophage,N
X199865992112035.N,Pro-angiogenesis Macrophage,N
X199865992166622.N,Pro-angiogenesis Macrophage,N
X199866010429158.N,Effector/Memory CD4+ T cells,N
X199934549645660.N,Natural killer cell,N
X199934549646622.N,Pro-angiogenesis Macrophage,N
X199934550165811.N,Effector/Memory CD4+ T cells,N
X199934550424875.N,Effector/Memory CD8+ T cells,N
X199934564579683.N,Effector/Memory CD4+ T cells,N
X199934565108453.N,Blood Cell,N
X199934577429724.N,Pro-angiogenesis Macrophage,N
X199934577621405.N,Pro-angiogenesis Macrophage,N
X199934595685094.N,Pro-angiogenesis Macrophage,N
X199934595689710.N,Pro-angiogenesis Macrophage,N
X199934595946277.N,Pro-angiogenesis Macrophage,N
X199934595979550.N,Effector/Memory CD4+ T cells,N
X199934596266931.N,Pro-angiogenesis Macrophage,N
X199934596298669.N,Pro-inflammatory Macrophage,N
X199934596533084.N,Effector/Memory CD4+ T cells,N
X199934596562267.N,Pro-angiogenesis Macrophage,N
X199944362219229.N,Pro-angiogenesis Macrophage,N
X199944362487094.N,Effector/Memory CD4+ T cells,N
X199944362677998.N,Effector/Memory CD4+ T cells,N
X199944363002597.N,Pro-angiogenesis Macrophage,N
X199944374730037.N,Pro-angiogenesis Macrophage,N
X199944375220061.N,Pro-angiogenesis Macrophage,N
X199944375228844.N,Effector/Memory CD4+ T cells,N
X199944375229147.N,Blood Cell,N
X199944375323868.N,Macrophage,N
X199944375324070.N,Pro-angiogenesis Macrophage,N
X199944375524579.N,Effector/Memory CD4+ T cells,N
X199944393603997.N,Pro-angiogenesis Macrophage,N
X199944393635686.N,Pro-angiogenesis Macrophage,N
X199944394390323.N,Any Cell,N
X199962332621612.N,Pro-angiogenesis Macrophage,N
X199962332642716.N,Macrophage,N
X199962333394861.N,Naive CD4+ T cells,N
X199962347554613.N,Effector/Memory CD4+ T cells,N
X199962347625244.N,Effector/Memory CD8+ T cells,N
X199962347628827.N,Lung Cancer Cell,N
X199962378816428.N,Pro-angiogenesis Macrophage,N
X199962379008925.N,Macrophage,N
X199962379369373.N,Effector/Memory CD4+ T cells,N
X199962379565875.N,Effector/Memory CD4+ T cells,N
X200348208655772.N,Lung Cancer Cell,N
X200348208904619.N,Pro-angiogenesis Macrophage,N
X200348208946460.N,Pro-angiogenesis Macrophage,N
X200348223270196.N,Natural killer cell,N
X200348236179236.N,Natural killer cell,N
X200348236180382.N,Pro-angiogenesis Macrophage,N
X200348254788404.N,Phagocytosis Macrophage,N
X200348255313180.N,Pro-angiogenesis Macrophage,N
X200348255570292.N,Effector/Memory CD4+ T cells,N
X200348255604133.N,Natural killer cell,N
X200363912617396.N,Pro-angiogenesis Macrophage,N
X200363912903076.N,Pro-angiogenesis Macrophage,N
X200363926743838.N,Effector/Memory CD8+ T cells,N
X200363926776748.N,Pro-angiogenesis Macrophage,N
X200363927300532.N,Natural killer cell,N
X200363939416950.N,Natural killer cell,N
X200363958255006.N,Pro-angiogenesis Macrophage,N
X200363958529307.N,Natural killer cell,N
X200363958779302.N,Blood Cell,N
X200363959008676.N,Effector/Memory CD8+ T cells,N
X200416659684597.N,Pro-angiogenesis Macrophage,N
X200416659921819.N,Pro-angiogenesis Macrophage,N
X200416660183412.N,Pro-angiogenesis Macrophage,N
X200416674363821.N,Pro-angiogenesis Macrophage,N
X200416674569637.N,Pro-angiogenesis Macrophage,N
X200416675195163.N,pDC,N
X200416686992115.N,Pro-angiogenesis Macrophage,N
X200416687242613.N,Naive CD4+ T cells,N
X200416687478692.N,Pro-angiogenesis Macrophage,N
X200416705795877.N,Pro-angiogenesis Macrophage,N
X200426591992054.N,Pro-angiogenesis Macrophage,N
X200426592356726.N,Effector/Memory CD4+ T cells,N
X200426607012075.N,Effector/Memory CD4+ T cells,N
X200426607032683.N,Blood Cell,N
X200426619524982.N,Macrophage,N
X200426637937580.N,CD4 or CD8 T cell,N
X200426638206821.N,Natural killer cell,N
X200441221539566.N,Effector/Memory CD4+ T cells,N
X200441221757229.N,Pro-angiogenesis Macrophage,N
X200441222351196.N,Effector/Memory CD4+ T cells,N
X200441236933492.N,Pro-angiogenesis Macrophage,N
X200441248991469.N,Natural killer cell,N
X200441249021278.N,Natural killer cell,N
X200441249352924.N,Pro-angiogenesis Macrophage,N
X200441249516333.N,Non Blood Cell,N
X200441249586462.N,Pro-angiogenesis Macrophage,N
X200441267702516.N,Macrophage,N
X200511149009261.N,Effector/Memory CD4+ T cells,N
X200511149533556.N,Pro-angiogenesis Macrophage,N
X200511149762395.N,CAFinfla,N
X200511164136820.N,Effector/Memory CD8+ T cells,N
X200511176726374.N,Effector/Memory CD8+ T cells,N
X200511195338613.N,Effector/Memory CD4+ T cells,N
X200561495755700.N,Effector/Memory CD4+ T cells,N
X200561495797044.N,Pro-angiogenesis Macrophage,N
X200561495828715.N,Effector/Memory CD8+ T cells,N
X200561507814244.N,Macrophage,N
X200561508435868.N,Pro-angiogenesis Macrophage,N
X200562822830316.N,Effector/Memory CD8+ T cells,N
X200562823358692.N,CD4 or CD8 T cell,N
X200562838198004.N,Lung Cancer Cell,N
X200562838223732.N,CD8 T or NK cell,N
X200562838292398.N,Pro-angiogenesis Macrophage,N
X200562850253037.N,Pro-angiogenesis Macrophage,N
X200562868926390.N,Phagocytosis Macrophage,N
X200562869201822.N,Pro-angiogenesis Macrophage,N
X200562869724894.N,Effector/Memory CD8+ T cells,N
X200563762522909.N,Pro-angiogenesis Macrophage,N
X200563777232308.N,Pro-angiogenesis Macrophage,N
X200563777558324.N,Macrophage,N
X200563777812323.N,Effector/Memory CD8+ T cells,N
X200563790302622.N,Pro-angiogenesis Macrophage,N
X200563808693478.N,Pro-angiogenesis Macrophage,N
X200570473737051.N,Pro-angiogenesis Macrophage,N
X200570519894899.N,Blood Cell,N
X200899053442868.N,Pro-angiogenesis Macrophage,N
X200899065732332.N,Macrophage,N
X200899084380468.N,Effector/Memory CD4+ T cells,N
X200899084900660.N,Pro-angiogenesis Macrophage,N
X200922526234974.N,Pro-angiogenesis Macrophage,N
X200922526309300.N,Effector/Memory CD4+ T cells,N
X200922526828828.N,Effector/Memory CD4+ T cells,N
X200922527086451.N,Pro-angiogenesis Macrophage,N
X200922527095531.N,Macrophage,N
X200922541177270.N,Pro-angiogenesis Macrophage,N
X200922541714675.N,Pro-angiogenesis Macrophage,N
X200922541767005.N,CD4 or CD8 T cell,N
X200922541767414.N,Natural killer cell,N
X200922553505502.N,Effector/Memory CD4+ T cells,N
X200922553793886.N,Pro-angiogenesis Macrophage,N
X200922572712862.N,Effector/Memory CD4+ T cells,N
X200922572732262.N,Pro-angiogenesis Macrophage,N
X200922573232357.N,Effector/Memory CD4+ T cells,N
X200967489538934.N,Pro-angiogenesis Macrophage,N
X200967504653733.N,Natural killer cell,N
X200967516506973.N,Natural killer cell,N
X200967516772774.N,Lung Cancer Cell,N
X200967536105308.N,Natural killer cell,N
X200967536167221.N,Pro-angiogenesis Macrophage,N
X200974065940253.N,Pro-angiogenesis Macrophage,N
X200974065953133.N,Pro-angiogenesis Macrophage,N
X200974080555828.N,Pro-angiogenesis Macrophage,N
X200974080788277.N,Pro-angiogenesis Macrophage,N
X200974093470430.N,Phagocytosis Macrophage,N
X200974093638558.N,Macrophage,N
X200974111988083.N,Pro-angiogenesis Macrophage,N
X200974112537460.N,Pro-angiogenesis Macrophage,N
X200983461649125.N,Pro-angiogenesis Macrophage,N
X200983476652773.N,Lung Cancer Cell,N
X200983488915747.N,Pro-angiogenesis Macrophage,N
X200983507229414.N,Macrophage or Dendritic Cell,N
X200983507324198.N,Pro-angiogenesis Macrophage,N
X200983507744565.N,Natural killer cell,N
X200983507811678.N,Pro-angiogenesis Macrophage,N
X200994198572446.N,Pro-angiogenesis Macrophage,N
X200994213804404.N,Effector/Memory CD8+ T cells,N
X200994225867638.N,Pro-angiogenesis Macrophage,N
X200994225871731.N,Non Blood Cell,N
X200994226105589.N,Pro-angiogenesis Macrophage,N
X200994244909341.N,Pro-angiogenesis Macrophage,N
